# CoordinateSystem: PROJCS["ETRS89 / UTM zone 32N",GEOGCS["ETRS89",DATUM["European Terrestrial Reference System 1989",SPHEROID["GRS 1980",6378137,298.257222101,AUTHORITY["EPSG","7019"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","6258"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4258"]],PROJECTION["Transverse_Mercator",AUTHORITY["EPSG","9807"]],PARAMETER["latitude_of_origin",0],PARAMETER["central_meridian",9],PARAMETER["scale_factor",0.9996],PARAMETER["false_easting",500000],PARAMETER["false_northing",0],UNIT["metre",1,AUTHORITY["EPSG","9001"]],AUTHORITY["EPSG","25832"]]
#Label	X/Easting	Y/Northing	Z/Altitude	Yaw	Pitch	Roll
100_0002_0171.JPG	719868.674388	6191971.773440	124.470072	209.900000	0.100000	-0.000000
100_0002_0172.JPG	719865.008554	6191964.761171	124.510072	212.500000	0.100000	-0.000000
100_0002_0173.JPG	719863.809472	6191972.643824	124.390072	347.600000	0.100000	-0.000000
100_0002_0174.JPG	719862.166864	6191980.830673	124.370072	351.600000	0.100000	-0.000000
100_0002_0175.JPG	719860.656713	6191989.437923	124.390072	352.500000	0.100000	-0.000000
100_0002_0176.JPG	719859.174661	6191997.862618	124.420072	352.800000	0.100000	-0.000000
100_0002_0177.JPG	719862.945789	6192005.867032	124.460072	27.800000	0.100000	-0.000000
100_0002_0178.JPG	719866.631753	6192013.595060	124.460072	29.400000	0.100000	-0.000000
100_0002_0179.JPG	719870.418446	6192021.465354	124.460072	29.000000	0.100000	-0.000000
100_0002_0180.JPG	719874.324998	6192029.360690	124.440072	28.700000	0.100000	-0.000000
100_0002_0181.JPG	719878.112743	6192037.234391	124.460072	28.600000	0.100000	-0.000000
100_0002_0182.JPG	719882.023984	6192045.123284	124.440072	28.800000	0.100000	-0.000000
100_0002_0183.JPG	719885.745714	6192052.813008	124.490072	29.000000	0.100000	-0.000000
100_0002_0184.JPG	719889.294729	6192060.454944	124.490072	28.500000	0.100000	-0.000000
100_0002_0185.JPG	719881.632704	6192060.228868	124.430072	274.900000	0.100000	-0.000000
100_0002_0186.JPG	719873.184178	6192059.879263	124.520072	269.900000	0.100000	-0.000000
100_0002_0187.JPG	719865.486009	6192058.176191	124.490072	253.100000	0.100000	-0.000000
100_0002_0188.JPG	719861.955466	6192049.909681	124.480072	213.000000	0.100000	-0.000000
100_0002_0189.JPG	719858.035484	6192042.279053	124.580072	210.000000	0.100000	-0.000000
100_0002_0190.JPG	719854.135256	6192034.431999	124.600072	209.500000	0.100000	-0.000000
